,Price,Area,Location,No. of Bedrooms,City
0,4850000,720,Kharghar,1,Mumbai
1,4500000,600,Kharghar,1,Mumbai
2,6700000,650,Kharghar,1,Mumbai
3,4500000,650,Kharghar,1,Mumbai
4,5000000,665,Kharghar,1,Mumbai
22,4200000,680,Kharghar,1,Mumbai
23,28000000,2470,Kharghar,4,Mumbai
24,40000000,2100,Kharghar,4,Mumbai
39,6000000,555,Kharghar,1,Mumbai
40,6200000,650,Kharghar,1,Mumbai
41,5000000,600,Kharghar,1,Mumbai
42,6500000,650,Kharghar,1,Mumbai
43,5200000,700,Kharghar,1,Mumbai
44,4200000,646,Kharghar,1,Mumbai
45,5500000,560,Kharghar,1,Mumbai
46,5500000,670,Kharghar,1,Mumbai
47,6000000,740,Kharghar,1,Mumbai
48,5500000,636,Kharghar,1,Mumbai
49,4200000,680,Kharghar,1,Mumbai
50,16500000,1635,Kharghar,3,Mumbai
53,22500000,1850,Kharghar,3,Mumbai
54,40000000,2100,Kharghar,4,Mumbai
55,5700000,610,Kharghar,1,Mumbai
56,4800000,655,Kharghar,1,Mumbai
57,4500000,660,Kharghar,1,Mumbai
58,4300000,650,Kharghar,1,Mumbai
59,4500000,680,Kharghar,1,Mumbai
60,5300000,670,Kharghar,1,Mumbai
61,4803000,655,Kharghar,1,Mumbai
63,15500000,1645,Kharghar,3,Mumbai
64,13000000,1395,Kharghar,3,Mumbai
68,4500000,615,Kharghar,1,Mumbai
69,5300000,670,Kharghar,1,Mumbai
70,6000000,765,Kharghar,1,Mumbai
71,5600000,650,Kharghar,1,Mumbai
72,4803000,655,Kharghar,1,Mumbai
73,17500000,1760,Kharghar,3,Mumbai
77,16600000,1650,Kharghar,3,Mumbai
78,13000000,1395,Kharghar,3,Mumbai
80,16600000,1650,Kharghar,3,Mumbai
81,13000000,1395,Kharghar,3,Mumbai
84,5700000,650,Kharghar,1,Mumbai
85,5500000,560,Kharghar,1,Mumbai
86,6000000,765,Kharghar,1,Mumbai
87,5600000,650,Kharghar,1,Mumbai
88,4900000,655,Kharghar,1,Mumbai
89,13500000,1390,Kharghar,3,Mumbai
90,22000000,1590,Kharghar,3,Mumbai
91,17500000,1760,Kharghar,3,Mumbai
92,17800000,1716,Kharghar,3,Mumbai
